id,cr,state,daysremaining
3422,250000,limited,-1
919,31800,normal,6
135,48700,normal,9
3438,58200,normal,8
3442,29800,new,8
1933,22700,normal,4
3356,40800,soldout,1
3530,169000,limited,2
1537,18500,limited,3
204,58100,normal,5
173,151900,normal,8
379,62300,soldout,1
1542,53000,normal,5
3432,43600,limited,2
102,179600,normal,6
533,499300,new,7
1729,36100,soldout,1
203,61200,soldout,1
104,89700,normal,9
773,178600,normal,4
301,39600,normal,4
3358,155600,normal,10
1402,111800,limited,3
1689,114800,normal,4
1480,99000,limited,3
3404,438500,normal,9
1365,137100,normal,10
942,90600,normal,8
1506,249200,normal,7
1504,242500,soldout,1
293,402700,normal,9
