id,cr,state,daysremaining
799,65800,soldout,-1
201,35000,normal,-1
931,100000,normal,-1
301,55000,normal,-1
211,90000,normal,-1
1508,200000,normal,-1
1523,15500,normal,5
3356,40800,normal,7
3530,169000,normal,7
810,51900,normal,4
3513,51400,limited,3
1933,22700,normal,9
1385,11800,soldout,1
1537,18500,new,7
1796,142200,soldout,1
919,31800,normal,10
533,499300,soldout,1
24,58400,new,6
3471,67700,normal,5
1542,53000,soldout,1
3377,63200,normal,4
104,89700,limited,3
102,179600,limited,2
1895,333900,limited,3
374,58900,normal,6
187,70100,normal,8
1384,30800,limited,3
1378,207400,normal,6
1399,70200,normal,8
3524,393800,normal,7
3431,220000,normal,7
1426,397100,limited,2
1410,288600,soldout,1
82,194000,limited,2
1541,67600,new,8
