id,cr,state,daysremaining
187,95000,limited,-1
137,20000,normal,-1
779,20000,normal,-1
145,16000,normal,-1
3547,24700,limited,2
3549,41800,normal,7
3422,206500,limited,2
1671,54300,normal,6
201,28600,normal,5
37,50800,soldout,1
63,58400,normal,7
1044,47200,new,11
1973,23900,limited,3
78,57800,normal,7
3385,220000,normal,5
3443,172000,limited,3
843,112000,normal,9
211,80700,normal,7
931,96400,limited,3
3432,43600,new,13
514,98700,limited,3
3434,367000,normal,8
1722,184100,normal,5
1539,141800,normal,7
3398,771300,normal,8
210,396400,normal,7
1507,313200,normal,5
1402,111800,normal,12
1480,99000,normal,12
1504,242500,normal,9
345,99100,soldout,1
