id,cr,state,daysremaining
1544,366700,normal,-1
3551,74600,normal,-1
1506,253100,normal,-1
41,71500,normal,-1
1527,13300,limited,2
1778,35800,limited,3
3547,24100,normal,5
37,52500,new,10
137,16800,normal,5
1973,22100,limited,2
1461,49700,limited,2
201,26500,limited,2
1671,57100,normal,4
63,46800,normal,8
78,59300,normal,4
843,115900,normal,5
3385,215600,limited,3
203,62100,normal,8
3384,40000,soldout,1
379,53600,normal,5
211,77500,limited,3
1729,36800,normal,7
773,176500,normal,5
301,44200,normal,5
1480,98400,limited,3
1365,137600,normal,6
942,86100,limited,2
1528,493500,limited,3
489,155200,normal,6
205,214300,soldout,1
1990,789300,limited,2
1481,711800,normal,6
345,97800,normal,4
1578,287200,soldout,1
