id,cr,state,daysremaining
137,20000,soldout,-1
779,20000,soldout,-1
145,16000,soldout,-1
3377,80000,limited,-1
201,35000,normal,-1
821,50200,normal,4
3549,41800,soldout,1
1985,87900,limited,3
1385,11800,normal,8
1796,142200,new,9
3403,40500,normal,6
1527,14400,normal,5
63,58400,soldout,1
1044,47200,normal,5
78,57800,soldout,1
203,61200,normal,8
3384,41600,normal,6
379,62300,normal,7
843,112000,limited,3
211,80700,soldout,1
773,178600,normal,11
301,39600,normal,11
3432,43600,normal,7
3551,83000,normal,6
3434,367000,limited,2
1689,114800,normal,7
1539,141800,soldout,1
3398,771300,limited,2
210,396400,soldout,1
1365,137100,normal,12
1402,111800,normal,6
1480,99000,normal,6
1504,242500,limited,3
1893,259600,soldout,1
