id,cr,state,daysremaining
1895,400000,soldout,-1
201,28600,soldout,1
1671,67400,limited,3
3403,40500,new,7
1044,46300,normal,9
145,15700,normal,9
63,48900,limited,3
37,52500,normal,4
3549,47000,normal,4
1385,11800,normal,9
1985,87900,normal,5
102,162200,normal,9
1729,40800,normal,5
1542,58200,normal,7
773,178600,normal,8
211,80100,normal,4
533,539300,new,7
379,55000,normal,4
104,81600,normal,8
301,39600,normal,8
203,62200,normal,4
3359,140200,limited,2
210,401100,limited,2
1722,194100,soldout,1
1539,137700,limited,2
1545,318700,limited,2
3434,392500,normal,7
1504,243200,normal,8
1893,267200,normal,4
1689,122400,normal,6
3398,770800,limited,2
