id,cr,state,daysremaining
1410,350000,new,-1
173,151900,normal,6
3442,29800,normal,5
779,16000,new,7
919,31800,normal,5
1537,18500,soldout,1
829,98900,normal,10
3438,58200,normal,6
1933,22700,soldout,1
204,58100,limited,3
135,48700,normal,6
959,42100,normal,4
207,53600,normal,7
3453,86100,normal,8
1448,59900,new,7
451,176100,normal,7
41,63100,normal,5
709,52500,limited,2
688,62300,normal,10
334,81900,limited,3
3341,170400,normal,8
3424,91400,limited,3
1578,290200,normal,7
1990,779000,normal,5
345,106700,normal,8
1481,701600,normal,5
489,154300,normal,6
205,216300,limited,2
3439,229200,normal,6
1528,495200,limited,2
1365,135900,soldout,1
