id,cr,state,daysremaining
3555,147100,normal,-1
3434,450000,limited,-1
1933,22700,soldout,1
3438,58200,normal,5
135,48700,normal,5
204,58100,limited,2
173,151900,normal,5
919,31800,limited,2
3442,29800,normal,4
829,98900,normal,8
779,16000,normal,5
48,106400,normal,8
374,58900,limited,3
104,89700,soldout,1
3377,63200,soldout,1
1027,458900,normal,4
1370,23300,limited,3
3471,67700,limited,2
24,58400,limited,2
959,43300,normal,9
334,72800,normal,8
1378,207400,normal,8
1544,363500,normal,9
3524,393800,normal,7
1384,30800,normal,4
1399,70200,normal,7
1426,397100,normal,4
3431,220000,normal,6
1541,67600,normal,6
82,194000,limited,3
187,70100,normal,7
