id,cr,state,daysremaining
799,65800,normal,-1
919,40000,limited,-1
3344,200000,soldout,-1
3466,200000,soldout,-1
3384,55000,limited,-1
201,35000,normal,-1
931,100000,normal,-1
301,55000,normal,-1
211,90000,normal,-1
1508,200000,normal,-1
3403,40500,limited,2
3356,40800,normal,10
1527,14400,limited,2
810,51900,new,7
3513,51400,normal,6
1933,22700,new,12
1385,11800,normal,4
145,15700,limited,3
1796,142200,normal,4
1044,47200,limited,2
533,499300,normal,4
3551,83000,limited,2
203,61200,limited,3
1729,36100,limited,2
1542,53000,normal,4
3377,63200,normal,7
104,89700,normal,6
102,179600,normal,5
1895,333900,normal,6
374,58900,normal,9
3359,137000,soldout,1
1384,30800,normal,6
1378,207400,normal,9
1545,340400,limited,2
942,90600,soldout,1
1506,249200,limited,2
1426,397100,normal,5
1410,288600,normal,4
82,194000,normal,5
1458,33000,limited,3
