id,cr,state,daysremaining
37,60000,normal,-1
1895,400000,normal,-1
1410,350000,normal,-1
3434,450000,normal,-1
3443,200000,normal,-1
63,58400,limited,3
821,50200,normal,5
1044,47200,normal,7
1985,87900,normal,4
3403,40500,new,7
145,15700,normal,9
1385,11800,normal,9
3549,41800,soldout,1
1527,14400,normal,6
1671,54300,soldout,1
3453,86100,soldout,1
3341,172800,limited,2
3466,183500,new,7
211,80700,new,12
3344,165200,normal,8
931,96400,normal,8
688,60300,limited,3
1773,40300,normal,6
514,98700,new,8
205,217000,new,9
1990,790200,new,10
1544,363500,limited,2
1528,492000,normal,10
3389,72700,normal,4
489,155400,normal,7
1373,106400,normal,7
396,440400,normal,5
3424,95000,new,7
345,99100,new,12
