id,cr,state,daysremaining
37,52100,soldout,-1
102,176600,soldout,-1
3549,40800,soldout,-1
187,95000,soldout,-1
201,26500,limited,3
1527,13300,limited,2
3547,24100,normal,4
1778,35800,normal,5
1044,48100,new,14
137,16800,limited,3
1973,22100,limited,2
1461,49700,limited,2
1671,57100,normal,6
63,46800,normal,8
843,115900,normal,7
1542,50900,new,9
379,53600,normal,5
211,77500,normal,4
203,62100,normal,7
1729,36800,normal,6
78,59300,limited,3
773,176500,normal,7
3385,215600,limited,3
301,44200,normal,5
1722,197300,normal,6
1545,337200,new,7
1507,308300,normal,5
3439,215600,soldout,1
3398,801800,normal,7
1689,115400,normal,10
210,396600,normal,6
1539,147400,normal,6
3359,142500,normal,6
1893,259100,normal,8
