id,cr,state,daysremaining
187,95000,normal,-1
3454,140400,limited,3
48,106400,limited,3
137,14400,normal,12
1973,22200,new,10
3547,26700,normal,11
1527,12900,normal,6
821,48200,normal,6
1778,28800,normal,8
829,98900,normal,4
1461,55200,new,10
3341,170400,soldout,1
78,59900,normal,9
3385,220000,normal,10
3344,168400,normal,7
3443,165200,normal,5
931,91100,normal,5
1773,37900,limited,3
843,107000,normal,10
3466,185400,new,7
514,106000,normal,7
489,154300,normal,7
1528,495200,limited,3
1365,135900,limited,2
1990,779000,normal,5
1578,290200,normal,7
205,216300,limited,3
345,106700,normal,8
1481,701600,normal,5
3439,229200,normal,6
3424,91400,limited,2
