id,cr,state,daysremaining
201,35000,limited,-1
931,100000,limited,-1
301,55000,limited,-1
211,90000,limited,-1
1508,200000,limited,-1
1729,50000,normal,-1
1523,15500,limited,2
3356,40800,normal,4
3530,169000,normal,4
810,51900,soldout,1
3438,58200,new,10
1933,22700,normal,6
204,58100,normal,7
1537,18500,normal,4
173,151900,normal,9
919,31800,normal,7
1027,458900,normal,5
24,58400,limited,3
3471,67700,limited,2
1370,23300,normal,4
3377,63200,soldout,1
959,43300,new,10
334,72800,normal,9
709,60300,new,6
374,58900,limited,3
187,70100,normal,5
1373,106400,new,10
1378,207400,limited,3
1399,70200,normal,5
3524,393800,normal,4
3431,220000,normal,4
396,440400,normal,8
1544,363500,normal,8
3389,72700,normal,6
1541,67600,normal,5
