id,cr,state,daysremaining
3422,250000,limited,-1
1523,17800,new,6
3530,167300,new,8
1044,43200,normal,5
810,48900,normal,5
145,13400,normal,4
1385,13600,soldout,1
1933,22400,normal,10
1796,132900,normal,4
919,31900,new,11
3356,38200,limited,2
374,60200,soldout,1
1448,61100,new,7
451,170400,normal,6
41,59200,normal,4
3341,162200,normal,7
207,51500,normal,5
334,86100,soldout,1
959,44200,soldout,1
688,54300,normal,8
3453,83100,soldout,1
396,430000,normal,5
942,86500,normal,4
1528,493500,normal,7
1365,137800,normal,5
345,105900,limited,3
3439,215600,new,7
489,156200,normal,5
1481,711800,normal,6
1722,197300,new,11
1480,104900,limited,2
