id,cr,state,daysremaining
799,65800,normal,-1
919,40000,normal,-1
3344,200000,normal,-1
3466,200000,normal,-1
37,52500,limited,3
3549,47000,normal,7
1527,14100,new,10
3547,26700,soldout,1
1671,67400,normal,5
821,53600,new,8
137,14400,limited,2
201,28600,soldout,1
63,48900,limited,3
1044,46300,normal,10
211,80100,normal,5
514,106000,soldout,1
3385,220000,limited,2
78,59900,limited,2
843,107000,limited,3
3432,42000,normal,6
379,55000,normal,4
3384,45300,limited,2
773,178600,normal,7
301,39600,normal,7
3434,392500,limited,2
1402,114400,normal,6
1480,99000,normal,6
1504,243200,limited,3
942,77800,normal,9
1689,122400,soldout,1
1365,135900,normal,6
293,398200,normal,5
3358,161700,normal,5
3404,413800,normal,4
