id,cr,state,daysremaining
1895,400000,normal,-1
1523,17800,limited,3
3530,167300,normal,5
1044,43200,limited,2
810,48900,limited,2
145,13400,soldout,1
1537,21400,normal,5
1933,22400,normal,7
1796,132900,soldout,1
919,31900,normal,8
204,47400,normal,8
1773,42000,normal,8
1448,61100,normal,4
451,170400,limited,3
41,59200,soldout,1
3341,162200,normal,4
207,51500,limited,2
3344,179700,normal,10
3443,166400,normal,7
688,54300,normal,5
931,87800,normal,7
396,430000,limited,2
942,86500,soldout,1
1528,493500,normal,4
1365,137800,limited,2
210,396600,new,11
3439,215600,normal,4
489,156200,limited,2
1481,711800,limited,3
1722,197300,normal,8
3398,801800,normal,11
