id,cr,state,daysremaining
1895,400000,soldout,-1
3547,24100,normal,-1
1385,12200,normal,9
3403,46700,normal,6
3513,53900,new,9
1985,81700,normal,5
1778,35800,soldout,1
1044,48100,normal,10
1796,137500,normal,12
145,13000,normal,11
1671,57100,limited,2
63,46800,normal,4
3471,80700,normal,5
203,62100,limited,2
843,115900,soldout,1
773,176500,limited,2
1542,50900,normal,4
1027,451600,new,7
1729,36800,soldout,1
374,61100,normal,8
24,48500,normal,5
1508,168100,normal,7
1402,115000,normal,5
1410,309000,normal,6
3424,99700,normal,4
1373,105600,normal,6
3434,372000,limited,2
1504,248000,limited,2
3404,409500,limited,3
293,398700,normal,4
3358,155500,normal,6
1458,36000,normal,4
