id,cr,state,daysremaining
3344,200000,normal,-1
3466,200000,normal,-1
931,100000,normal,-1
301,55000,normal,-1
211,90000,normal,-1
1508,200000,normal,-1
3434,450000,new,-1
1933,22700,normal,6
3438,58200,new,10
135,48700,new,10
204,58100,normal,7
173,151900,normal,10
919,31800,normal,7
1523,15500,soldout,1
3356,40800,limited,2
3530,169000,limited,3
1537,18500,normal,4
374,58900,normal,8
104,89700,normal,6
3377,63200,normal,6
1542,53000,limited,2
102,179600,limited,2
773,178600,soldout,1
1895,333900,normal,4
533,499300,limited,3
942,90600,limited,2
1410,288600,normal,4
293,402700,limited,3
1506,249200,soldout,1
3358,155600,limited,3
1365,137100,limited,2
1545,340400,limited,3
1458,33000,limited,3
82,194000,new,8
3404,438500,limited,2
